Year_Birth,Education,Marital_Status,Income,Children,Teens,DaysSinceLastPurchase,Alcohol,Fruits,Meats,Vegetables,Grains,Discounts,WebPurchases,StorePurchases
1989,College,Married,29000,1,0,56,5,4,7,8,0,1,1,3
1989,College,Married,29000,1,0,56,5,4,7,8,0,1,1,3
1965,College,Single,30000,1,1,6,9,1,6,0,4,1,0,3
1965,College,Single,30000,1,1,6,9,1,6,0,4,1,0,3
1961,College,Single,30000,0,1,27,36,0,6,0,0,1,1,3
1984,Graduate,Married,30000,1,0,16,47,1,6,0,0,1,1,3
1972,College,Single,30000,1,2,75,8,0,6,0,3,1,0,3
1971,Graduate,Single,30000,1,0,23,25,0,7,0,1,1,2,2
1972,College,Married,30000,1,0,8,1,3,7,2,5,1,1,2
1970,Graduate,Single,30000,1,0,52,7,1,6,3,1,1,1,2
1974,Graduate,Single,30000,1,0,19,14,0,8,3,3,1,3,2
1974,Graduate,Single,30000,1,0,19,14,0,8,3,3,1,3,2
1989,College,Single,30000,1,0,13,10,4,14,4,4,1,1,3
1989,College,Single,30000,1,0,13,10,4,14,4,4,1,1,3
1985,Graduate,Single,30000,0,0,48,6,3,7,6,1,1,1,3
1988,College,Single,30000,1,0,88,7,6,7,7,6,1,1,3
1972,College,Married,30000,1,0,28,11,0,16,7,6,1,2,3
1983,College,Married,30000,1,0,30,5,3,7,12,5,1,2,3
1983,College,Married,30000,1,0,30,5,3,7,12,5,1,2,3
1990,College,Married,30000,0,0,19,2,6,9,13,4,1,2,3
1987,College,Married,30000,0,0,5,10,12,7,25,1,1,2,3
1958,Graduate,Single,31000,2,1,0,5,0,6,0,0,1,1,2
1984,Graduate,Single,31000,1,0,56,3,2,7,0,1,1,1,2
1976,College,Married,31000,1,1,89,7,2,6,2,1,1,1,2
1969,College,Single,31000,1,0,92,3,9,7,2,12,1,1,3
1977,College,Married,31000,1,0,99,5,10,7,3,8,1,1,3
1976,Graduate,Single,31000,1,0,6,9,1,6,4,5,1,1,3
1976,Graduate,Single,31000,1,0,6,9,1,6,4,5,1,1,3
1974,College,Married,31000,1,0,75,15,6,7,4,5,1,3,2
1976,College,Divorced,31000,1,0,83,17,0,14,7,3,1,1,3
1976,College,Divorced,31000,1,0,83,17,0,14,7,3,1,1,3
1973,College,Divorced,31000,1,0,54,2,3,7,11,2,1,1,3
1973,College,Divorced,31000,1,0,54,2,3,7,11,2,1,1,3
1972,College,Married,31000,1,0,14,10,2,16,11,2,1,1,3
1963,College,Single,31000,0,0,50,51,4,17,12,1,1,4,3
1960,College,Single,31000,0,0,29,65,36,25,38,20,1,5,4
1967,College,Single,32000,1,1,0,10,0,0,0,0,1,1,2
1958,Graduate,Divorced,32000,0,1,0,18,0,6,0,0,1,1,3
1984,College,Single,32000,0,0,11,20,6,6,0,9,1,1,3
1980,Graduate,Married,32000,1,0,95,15,4,7,0,0,1,1,2
1970,College,Single,32000,1,0,13,4,1,6,2,0,1,1,2
1978,Graduate,Single,32000,1,0,12,39,1,7,2,1,1,2,2
1973,College,Married,32000,1,0,1,13,3,6,6,5,1,1,3
1972,College,Single,32000,1,0,40,6,2,15,6,6,1,1,3
1976,College,Divorced,32000,1,0,77,3,1,6,8,0,1,1,2
1977,College,Single,32000,0,1,7,23,4,6,10,5,1,1,4
1971,College,Single,32000,0,0,92,17,8,7,11,15,1,2,2
1960,College,Single,32000,0,0,27,10,24,15,13,1,1,2,3
1980,College,Single,32000,1,0,3,3,4,6,15,8,1,1,3
1972,College,Single,32000,0,0,75,33,87,21,175,16,1,6,6
1961,Graduate,Single,33000,1,1,10,5,0,6,0,0,1,1,2
1966,College,Single,33000,0,0,29,10,3,6,0,0,1,0,3
1976,Graduate,Married,33000,1,0,90,9,0,6,0,0,1,1,2
1952,Graduate,Married,33000,1,1,24,8,0,7,0,0,1,1,2
1951,College,Married,33000,1,1,28,22,2,7,0,2,1,1,3
1979,Graduate,Divorced,33000,1,0,78,22,3,6,0,0,1,2,3
1986,College,Single,33000,1,0,71,45,0,16,2,1,1,3,3
1977,College,Divorced,33000,1,0,36,38,0,7,3,1,1,2,3
1986,College,Married,33000,1,0,76,8,4,15,7,6,1,1,3
1980,College,Married,33000,1,0,28,22,2,10,7,4,1,2,3
1978,College,Married,33000,1,0,4,30,8,7,8,8,1,2,4
1978,College,Married,33000,1,0,4,30,8,7,8,8,1,2,4
1977,College,Single,33000,1,0,9,12,6,6,11,2,1,1,3
1959,Graduate,Married,34000,0,1,25,8,2,6,0,0,1,0,3
1966,Graduate,Single,34000,0,1,51,61,0,6,0,0,1,1,3
1974,College,Single,34000,2,1,65,4,0,6,0,0,1,1,2
1965,Graduate,Single,34000,1,1,72,15,0,6,0,0,1,1,2
1970,College,Single,34000,1,0,34,4,3,6,0,3,1,1,2
1969,Graduate,Married,34000,2,0,38,11,0,6,0,0,1,1,2
1971,Graduate,Married,34000,0,1,39,9,1,6,2,1,1,0,3
1979,College,Single,34000,1,0,81,16,3,15,2,1,1,1,3
1970,College,Divorced,34000,1,0,43,16,2,6,2,1,1,1,3
1986,Graduate,Single,34000,1,0,66,4,1,7,3,0,1,1,2
1978,Graduate,Single,34000,1,0,97,20,2,14,3,0,1,2,2
1983,Graduate,Married,34000,1,0,10,16,2,6,3,0,1,1,2
1975,Graduate,Single,34000,0,1,9,11,2,6,4,2,1,1,3
1974,College,Married,34000,1,0,81,3,3,6,6,2,1,1,2
1974,College,Married,34000,1,0,81,3,3,6,6,2,1,1,2
1968,Graduate,Single,34000,0,1,14,63,0,7,7,0,1,3,3
1989,Graduate,Single,34000,0,0,46,40,2,15,8,0,1,1,3
1989,Graduate,Single,34000,0,0,46,40,2,15,8,0,1,1,3
1966,Graduate,Married,34000,0,1,91,30,11,11,13,6,1,2,4
1972,Graduate,Single,35000,2,1,1,7,0,0,0,0,1,1,2
1974,Graduate,Married,35000,1,0,48,14,0,6,0,0,1,1,2
1974,Graduate,Married,35000,1,0,48,14,0,6,0,0,1,1,2
1956,College,Single,35000,2,1,31,8,1,6,0,0,1,1,2
1966,College,Single,35000,0,1,65,29,0,6,0,1,1,1,3
1986,College,Single,35000,1,0,2,14,0,16,0,0,1,1,2
1971,Graduate,Married,35000,1,0,10,23,1,7,2,2,1,1,2
1971,Graduate,Married,35000,1,0,10,23,1,7,2,2,1,1,2
1995,College,Single,35000,0,0,65,4,2,7,2,0,1,1,2
1995,College,Single,35000,0,0,65,4,2,7,2,0,1,1,2
1984,College,Single,35000,1,0,51,3,2,7,3,0,1,1,3
1992,College,Married,35000,0,0,71,34,4,22,3,10,1,2,4
1992,College,Married,35000,0,0,71,34,4,22,3,10,1,2,4
1988,College,Divorced,35000,1,0,20,6,4,6,4,3,1,1,3
1981,Graduate,Single,36000,1,0,33,12,0,0,0,0,1,0,2
1949,Graduate,Divorced,36000,1,1,24,8,0,6,0,0,1,0,3
1984,College,Married,36000,1,0,66,10,4,6,0,6,1,1,3
1969,Graduate,Single,36000,1,1,56,8,0,14,2,3,1,1,3
1949,Graduate,Married,36000,1,1,11,9,1,6,3,2,1,1,2
1976,College,Single,36000,1,0,53,11,12,12,3,5,1,3,3
1978,Graduate,Single,36000,1,0,77,30,5,8,4,1,1,2,3
1983,Graduate,Married,36000,0,0,13,66,2,13,4,3,1,3,3
1970,Graduate,Divorced,36000,1,0,34,23,0,7,6,2,1,1,3
1959,College,Married,36000,0,0,36,21,1,7,7,3,1,1,3
1971,Graduate,Single,36000,1,0,17,14,2,10,8,2,1,2,4
1983,College,Single,36000,1,0,54,46,0,10,12,1,1,2,4
1983,Graduate,Married,36000,0,0,24,88,39,18,64,28,1,3,3
1980,Graduate,Single,37000,1,0,23,16,1,6,0,0,1,1,3
1963,Graduate,Single,37000,1,1,52,10,0,6,0,0,1,1,2
1975,College,Divorced,37000,2,0,78,9,1,6,0,0,1,0,3
1954,College,Single,37000,1,1,88,4,2,6,0,0,1,1,2
1976,Graduate,Single,37000,1,0,47,18,0,7,0,1,1,1,3
1955,College,Divorced,37000,1,1,90,18,2,7,0,0,1,1,2
1978,College,Single,37000,1,0,50,10,6,7,0,4,1,1,3
1979,College,Married,37000,1,0,16,29,1,6,0,3,1,2,2
1975,College,Married,37000,1,1,46,11,1,6,2,1,1,0,3
1975,College,Married,37000,1,1,46,11,1,6,2,1,1,0,3
1980,College,Married,37000,1,0,18,2,0,7,2,2,1,1,2
1975,Graduate,Married,37000,1,0,4,3,2,7,2,2,1,1,2
1975,Graduate,Married,37000,1,0,40,18,0,6,3,3,1,1,3
1971,Graduate,Married,37000,1,0,9,45,3,7,4,4,1,1,2
1984,College,Single,37000,1,0,68,20,2,7,4,6,1,1,2
1900,College,Divorced,37000,1,0,99,15,6,7,7,4,1,2,2
1989,College,Married,37000,1,0,51,23,0,9,7,15,1,2,4
1983,College,Married,37000,0,0,14,3,3,14,15,21,1,2,2
1982,College,Married,37000,0,0,41,86,2,24,69,38,1,4,5
1970,College,Single,38000,1,1,19,12,0,6,0,0,1,1,2
1959,College,Single,38000,2,1,96,2,0,6,2,0,1,0,3
1973,College,Married,38000,1,0,97,5,4,7,2,2,1,1,3
1972,Graduate,Divorced,38000,1,0,54,26,3,7,2,10,1,2,3
1986,Graduate,Single,38000,1,0,86,23,0,7,2,1,1,1,3
1978,Graduate,Married,38000,1,0,31,9,0,6,4,1,1,1,2
1978,Graduate,Married,38000,1,0,31,9,0,6,4,1,1,1,2
1972,Graduate,Married,38000,1,0,50,40,1,13,4,3,1,3,3
1976,College,Single,38000,1,0,82,34,6,7,11,4,1,2,3
1976,College,Single,38000,1,0,82,34,6,7,11,4,1,2,3
1976,College,Married,39000,1,1,21,15,0,6,0,0,1,1,2
1960,Graduate,Divorced,39000,0,0,1,7,1,6,0,3,1,0,3
1973,Graduate,Married,39000,0,1,2,34,0,6,0,0,1,1,3
1959,Graduate,Married,39000,0,1,86,76,0,6,0,0,1,3,2
1983,College,Single,39000,1,0,28,23,0,7,0,0,1,1,3
1981,College,Single,39000,1,0,49,6,1,7,0,1,1,1,2
1972,Graduate,Single,39000,1,0,17,25,1,7,0,0,1,1,3
1973,Graduate,Single,39000,1,0,16,71,0,6,0,0,1,3,2
1973,Graduate,Married,39000,1,0,60,19,7,6,0,1,1,2,2
1949,College,Single,39000,0,1,56,70,0,7,2,8,1,2,3
1971,College,Single,39000,1,0,65,3,1,7,4,3,1,1,2
1984,College,Married,39000,1,0,97,11,0,12,15,5,1,2,3
1963,Graduate,Single,39000,0,0,56,112,17,15,34,22,1,2,3
1963,Graduate,Single,39000,0,0,56,112,17,15,34,22,1,2,3
1957,Graduate,Single,40000,0,2,54,35,0,6,0,0,1,1,2
1974,College,Divorced,40000,1,1,85,11,0,6,0,0,1,1,2
1952,College,Single,40000,0,1,23,13,6,6,0,3,1,1,3
1967,Graduate,Single,40000,1,0,82,37,0,6,0,0,1,2,3
1977,College,Divorced,40000,1,0,68,2,1,6,2,1,1,1,2
1982,College,Single,40000,1,0,95,5,0,7,2,0,1,0,3
1977,College,Single,40000,1,0,92,6,2,6,2,8,1,2,3
1969,Graduate,Single,40000,1,0,67,15,20,8,2,7,1,2,4
1984,College,Married,40000,1,0,82,110,29,31,28,10,1,6,3
1957,Graduate,Divorced,41000,1,1,5,29,0,6,0,0,1,1,3
1950,Graduate,Married,41000,1,1,20,9,0,6,0,0,1,0,3
1957,Graduate,Single,41000,2,1,24,11,0,6,0,0,1,1,2
1953,College,Single,41000,1,1,86,13,0,6,0,0,1,1,2
1971,College,Divorced,41000,1,1,63,23,1,6,0,4,1,1,2
1968,College,Single,41000,1,1,82,12,0,6,0,0,1,0,2
1978,Graduate,Married,41000,1,0,65,7,2,6,2,0,1,1,2
1978,College,Single,41000,0,1,98,44,2,7,2,3,1,1,4
1987,Graduate,Single,41000,0,0,68,112,1,18,7,7,1,3,4
1986,College,Divorced,41000,0,0,11,37,32,13,11,3,1,2,4
1985,College,Single,41000,1,0,80,21,8,7,15,3,1,2,3
1963,Graduate,Divorced,41000,0,0,11,123,133,47,71,44,1,6,8
1982,College,Single,41000,0,0,32,34,11,46,179,61,1,8,5
1981,College,Single,42000,1,1,66,23,4,7,0,2,1,1,3
1972,Graduate,Single,42000,1,0,69,15,2,7,0,1,1,1,3
1969,College,Married,42000,1,1,99,24,0,7,0,1,1,1,3
1971,Graduate,Married,42000,1,0,18,22,1,7,0,5,1,1,3
1986,Graduate,Single,42000,1,0,43,65,4,16,0,4,1,3,3
1986,Graduate,Single,42000,1,0,43,65,4,16,0,4,1,3,3
1971,College,Single,42000,1,1,95,11,1,6,2,0,1,1,2
1968,College,Single,42000,1,0,92,13,6,15,3,5,1,2,2
1948,College,Married,42000,0,0,40,40,15,15,17,6,1,2,3
1967,College,Married,43000,0,1,44,21,0,6,0,0,1,1,3
1972,Graduate,Married,43000,1,0,61,10,1,6,0,0,1,1,2
1977,Graduate,Single,43000,1,1,91,4,0,6,0,1,1,1,2
1969,Graduate,Married,43000,1,1,84,5,1,6,2,1,1,1,2
1964,College,Married,43000,0,0,96,14,36,7,3,26,1,1,4
1964,College,Married,43000,0,0,96,14,36,7,3,26,1,1,4
1978,College,Married,43000,1,0,29,8,4,7,6,3,1,1,3
1957,College,Married,43000,0,1,68,134,8,25,6,0,1,4,5
1974,Graduate,Single,43000,0,1,46,35,4,6,7,6,1,2,2
1974,College,Single,43000,0,0,25,56,7,16,10,2,1,3,4
1971,Graduate,Single,43000,2,0,53,20,6,14,19,5,1,3,2
1992,Graduate,Single,43000,0,0,12,154,2,15,20,4,1,4,4
1991,College,Married,43000,0,0,48,179,2,21,38,17,1,5,6
